x,y_exact
2.35235235235235235e-01,2.35243032311270972e-01
2.36236236236236241e-01,2.36243652673184173e-01
2.37237237237237247e-01,2.37244291617206171e-01
2.38238238238238226e-01,2.38244948236192133e-01
2.39239239239239232e-01,2.39245621667282499e-01
2.40240240240240238e-01,2.40246311089740816e-01
2.41241241241241244e-01,2.41247015722897584e-01
2.42242242242242251e-01,2.42247734824194122e-01
2.43243243243243229e-01,2.43248467687322112e-01
2.44244244244244235e-01,2.44249213640453960e-01
2.45245245245245241e-01,2.45249972044559478e-01
2.46246246246246248e-01,2.46250742291804714e-01
2.47247247247247254e-01,2.47251523804029122e-01
2.48248248248248260e-01,2.48252316031296882e-01
2.49249249249249238e-01,2.49253118450519007e-01
2.50250250250250272e-01,2.50253930564142912e-01
2.51251251251251251e-01,2.51254751898905337e-01
2.52252252252252229e-01,2.52255582004647150e-01
2.53253253253253263e-01,2.53256420453185138e-01
2.54254254254254242e-01,2.54257266837239038e-01
2.55255255255255276e-01,2.55258120769411456e-01
2.56256256256256254e-01,2.56258981881216819e-01
2.57257257257257232e-01,2.57259849822158659e-01
2.58258258258258266e-01,2.58260724258850882e-01
2.59259259259259245e-01,2.59261604874182705e-01
2.60260260260260279e-01,2.60262491366524240e-01
2.61261261261261257e-01,2.61263383448970432e-01
2.62262262262262236e-01,2.62264280848622633e-01
2.63263263263263270e-01,2.63265183305904538e-01
2.64264264264264248e-01,2.64266090573911760e-01
2.65265265265265282e-01,2.65267002417793496e-01
2.66266266266266260e-01,2.66267918614163768e-01
2.67267267267267239e-01,2.67268838950542098e-01
2.68268268268268273e-01,2.68269763224820768e-01
2.69269269269269251e-01,2.69270691244758609e-01
2.70270270270270285e-01,2.70271622827499447e-01
2.71271271271271264e-01,2.71272557799113578e-01
2.72272272272272242e-01,2.72273495994162396e-01
2.73273273273273276e-01,2.73274437255283775e-01
2.74274274274274255e-01,2.74275381432797505e-01
2.75275275275275289e-01,2.75276328384330693e-01
2.76276276276276267e-01,2.76277277974460722e-01
2.77277277277277301e-01,2.77278230074376075e-01
2.78278278278278279e-01,2.78279184561553539e-01
2.79279279279279258e-01,2.79280141319451392e-01
2.80280280280280292e-01,2.80281100237217196e-01
2.81281281281281270e-01,2.81282061209410073e-01
2.82282282282282304e-01,2.82283024135736693e-01
2.83283283283283283e-01,2.83283988920799701e-01
2.84284284284284261e-01,2.84284955473858958e-01
2.85285285285285295e-01,2.85285923708604283e-01
2.86286286286286273e-01,2.86286893542938570e-01
2.87287287287287307e-01,2.87287864898773004e-01
2.88288288288288286e-01,2.88288837701830558e-01
2.89289289289289264e-01,2.89289811881460468e-01
2.90290290290290298e-01,2.90290787370461045e-01
2.91291291291291277e-01,2.91291764104911088e-01
2.92292292292292311e-01,2.92292742024010122e-01
2.93293293293293289e-01,2.93293721069925628e-01
2.94294294294294267e-01,2.94294701187648500e-01
2.95295295295295301e-01,2.95295682324855147e-01
2.96296296296296280e-01,2.96296664431776102e-01
2.97297297297297314e-01,2.97297647461071790e-01
2.98298298298298292e-01,2.98298631367713396e-01
2.99299299299299271e-01,2.99299616108870570e-01
3.00300300300300305e-01,3.00300601643803899e-01
3.01301301301301283e-01,3.01301587933762438e-01
3.02302302302302317e-01,3.02302574941887392e-01
3.03303303303303295e-01,3.03303562633119139e-01
3.04304304304304329e-01,3.04304550974109633e-01
3.05305305305305308e-01,3.05305539933138859e-01
