time_ps,mem_init,accepted,x_hex,y_hex,h_hex,x,y,err,h,time_ns
20900,1,1,3f0ccccd,3f0ccccd,3ccccccd,0.550000011920929,0.550000011920929,nan,0.02500000037252903,20.9
21850,1,1,3f133333,3f133333,3ccccccd,0.574999988079071,0.574999988079071,nan,0.02500000037252903,21.85
22800,1,1,3f199999,3f199999,3ccccccd,0.5999999642372131,0.5999999642372131,nan,0.02500000037252903,22.8
23750,1,1,3f1fffff,3f1fffff,3ccccccd,0.6249999403953552,0.6249999403953552,nan,0.02500000037252903,23.75
24700,1,1,3f266665,3f266665,3ccccccd,0.6499999165534973,0.6499999165534973,nan,0.02500000037252903,24.7
25650,1,1,3f2ccccb,3f2ccccb,3ccccccd,0.6749998927116394,0.6749998927116394,nan,0.02500000037252903,25.65
26600,1,1,3f333331,3f333331,3ccccccd,0.6999998688697815,0.6999998688697815,nan,0.02500000037252903,26.6
27550,1,1,3f399997,3f399997,3ccccccd,0.7249998450279236,0.7249998450279236,nan,0.02500000037252903,27.55
28500,1,1,3f3ffffd,3f3ffffd,3ccccccd,0.7499998211860657,0.7499998211860657,nan,0.02500000037252903,28.5
29450,1,1,3f466663,3f466663,3ccccccd,0.7749997973442078,0.7749997973442078,nan,0.02500000037252903,29.45
30400,1,1,3f4cccc9,3f4cccc9,3ccccccd,0.7999997735023499,0.7999997735023499,nan,0.02500000037252903,30.4
31350,1,1,3f53332f,3f53332f,3ccccccd,0.8249997496604919,0.8249997496604919,nan,0.02500000037252903,31.35
32300,1,1,3f599995,3f599995,3ccccccd,0.849999725818634,0.849999725818634,nan,0.02500000037252903,32.3
33250,1,1,3f5ffffb,3f5ffffb,3ccccccd,0.8749997019767761,0.8749997019767761,nan,0.02500000037252903,33.25
34200,1,1,3f666661,3f666661,3ccccccd,0.8999996781349182,0.8999996781349182,nan,0.02500000037252903,34.2
35150,1,1,3f6cccc7,3f6cccc7,3ccccccd,0.9249996542930603,0.9249996542930603,nan,0.02500000037252903,35.15
36100,1,1,3f73332d,3f73332d,3ccccccd,0.9499996304512024,0.9499996304512024,nan,0.02500000037252903,36.1
37050,1,1,3f799993,3f799993,3ccccccd,0.9749996066093445,0.9749996066093445,nan,0.02500000037252903,37.05
38000,1,1,3f7ffff9,3f7ffff9,3ccccccd,0.9999995827674866,0.9999995827674866,nan,0.02500000037252903,38.0
38950,1,1,3f833330,3f833330,3ccccccd,1.0249996185302734,1.0249996185302734,nan,0.02500000037252903,38.95
39900,1,1,3f866663,3f866663,3ccccccd,1.0499995946884155,1.0499995946884155,nan,0.02500000037252903,39.9
40850,1,1,3f899996,3f899996,3ccccccd,1.0749995708465576,1.0749995708465576,nan,0.02500000037252903,40.85
41800,1,1,3f8cccc9,3f8cccc9,3ccccccd,1.0999995470046997,1.0999995470046997,nan,0.02500000037252903,41.8
42750,1,1,3f8ffffc,3f8ffffc,3ccccccd,1.1249995231628418,1.1249995231628418,nan,0.02500000037252903,42.75
43700,1,1,3f93332f,3f93332f,3ccccccd,1.1499994993209839,1.1499994993209839,nan,0.02500000037252903,43.7
44650,1,1,3f966662,3f966662,3ccccccd,1.174999475479126,1.174999475479126,nan,0.02500000037252903,44.65
45600,1,1,3f999995,3f999995,3ccccccd,1.199999451637268,1.199999451637268,nan,0.02500000037252903,45.6
46550,1,1,3f9cccc8,3f9cccc8,3ccccccd,1.2249994277954102,1.2249994277954102,nan,0.02500000037252903,46.55
47500,1,1,3f9ffffb,3f9ffffb,3ccccccd,1.2499994039535522,1.2499994039535522,nan,0.02500000037252903,47.5
48450,1,1,3fa3332e,3fa3332e,3ccccccd,1.2749993801116943,1.2749993801116943,nan,0.02500000037252903,48.45
49400,1,1,3fa66661,3fa66661,3ccccccd,1.2999993562698364,1.2999993562698364,nan,0.02500000037252903,49.4
50350,1,1,3fa99994,3fa99994,3ccccccd,1.3249993324279785,1.3249993324279785,nan,0.02500000037252903,50.35
51300,1,1,3facccc7,3facccc7,3ccccccd,1.3499993085861206,1.3499993085861206,nan,0.02500000037252903,51.3
52250,1,1,3faffffa,3faffffa,3ccccccd,1.3749992847442627,1.3749992847442627,nan,0.02500000037252903,52.25
53200,1,1,3fb3332d,3fb3332d,3ccccccd,1.3999992609024048,1.3999992609024048,nan,0.02500000037252903,53.2
54150,1,1,3fb66660,3fb66660,3ccccccd,1.4249992370605469,1.4249992370605469,nan,0.02500000037252903,54.15
55100,1,1,3fb99993,3fb99993,3ccccccd,1.449999213218689,1.449999213218689,nan,0.02500000037252903,55.1
56050,1,1,3fbcccc6,3fbcccc6,3ccccccd,1.474999189376831,1.474999189376831,nan,0.02500000037252903,56.05
57000,1,1,3fbffff9,3fbffff9,3ccccccd,1.4999991655349731,1.4999991655349731,nan,0.02500000037252903,57.0
